id,name,role,target_origin,true_origin,source_rank,label
atom-0001,Wei,given,C,C,2,1
atom-0002,Wei,given,J,C,2,0
atom-0003,Yan,given,C,C,3,1
atom-0004,Yan,given,J,C,3,0
atom-0005,Li,given,C,C,4,1
atom-0006,Li,given,J,C,4,0
atom-0007,Ying,given,C,C,5,1
atom-0008,Ying,given,J,C,5,0
atom-0009,Hui,given,C,C,6,1
atom-0010,Hui,given,J,C,6,0
atom-0011,Lei,given,C,C,7,1
atom-0012,Lei,given,J,C,7,0
atom-0013,Hong,given,C,C,8,1
atom-0014,Hong,given,J,C,8,0
atom-0015,Yu,given,C,C,9,1
atom-0016,Yu,given,J,C,9,0
atom-0017,Min,given,C,C,10,1
atom-0018,Min,given,J,C,10,0
atom-0019,Xin,given,C,C,11,1
atom-0020,Xin,given,J,C,11,0
atom-0021,Bin,given,C,C,12,1
atom-0022,Bin,given,J,C,12,0
atom-0023,Ping,given,C,C,13,1
atom-0024,Ping,given,J,C,13,0
atom-0025,Lin,given,C,C,14,1
atom-0026,Lin,given,J,C,14,0
atom-0027,Yong,given,C,C,15,1
atom-0028,Yong,given,J,C,15,0
atom-0029,Ming,given,C,C,16,1
atom-0030,Ming,given,J,C,16,0
atom-0031,Ling,given,C,C,17,1
atom-0032,Ling,given,J,C,17,0
atom-0033,Qing,given,C,C,18,1
atom-0034,Qing,given,J,C,18,0
atom-0035,Peng,given,C,C,19,1
atom-0036,Peng,given,J,C,19,0
atom-0037,Qiang,given,C,C,20,1
atom-0038,Qiang,given,J,C,20,0
atom-0039,Yun,given,C,C,21,1
atom-0040,Yun,given,J,C,21,0
atom-0041,Jin,given,C,C,22,1
atom-0042,Jin,given,J,C,22,0
atom-0043,Rong,given,C,C,23,1
atom-0044,Rong,given,J,C,23,0
atom-0045,Chao,given,C,C,24,1
atom-0046,Chao,given,J,C,24,0
atom-0047,Gang,given,C,C,25,1
atom-0048,Gang,given,J,C,25,0
atom-0049,Yue,given,C,C,26,1
atom-0050,Yue,given,J,C,26,0
atom-0051,Jianhua,given,C,C,27,1
atom-0052,Jianhua,given,J,C,27,0
atom-0053,Xiaoyan,given,C,C,28,1
atom-0054,Xiaoyan,given,J,C,28,0
atom-0055,Na,given,C,C,29,1
atom-0056,Na,given,J,C,29,0
atom-0057,Liping,given,C,C,30,1
atom-0058,Liping,given,J,C,30,0
atom-0059,Mei,given,C,C,31,1
atom-0060,Mei,given,J,C,31,0
atom-0061,Ning,given,C,C,32,1
atom-0062,Ning,given,J,C,32,0
atom-0063,Zhen,given,C,C,33,1
atom-0064,Zhen,given,J,C,33,0
atom-0065,Chen,given,C,C,34,1
atom-0066,Chen,given,J,C,34,0
atom-0067,Kai,given,C,C,35,1
atom-0068,Kai,given,J,C,35,0
atom-0069,Cheng,given,C,C,36,1
atom-0070,Cheng,given,J,C,36,0
atom-0071,Xiang,given,C,C,37,1
atom-0072,Xiang,given,J,C,37,0
atom-0073,Haiyan,given,C,C,38,1
atom-0074,Haiyan,given,J,C,38,0
atom-0075,Jianping,given,C,C,39,1
atom-0076,Jianping,given,J,C,39,0
atom-0077,Lihua,given,C,C,40,1
atom-0078,Lihua,given,J,C,40,0
atom-0079,Nan,given,C,C,41,1
atom-0080,Nan,given,J,C,41,0
