name,source_rank
Kenji,1
Hiroshi,2
Shigeru,3
Sachiko,4
Masako,5
Katsumi,6
Yoko,7
Michiko,8
Toshio,9
Yoshiko,10
Hiromi,11
Hiroko,12
Yoshio,13
Kazuo,14
Akira,15
Keiko,16
Hisako,17
Yoshimi,18
Fumiko,19
Masao,20
Toshiko,21
Kiyoshi,22
Takashi,23
Yukio,24
Hideo,25
Koshi,26
Yasuko,27
Koichi,28
Reiko,29
Koji,30
Takeshi,31
Takako,32
Tadashi,33
Miyoko,34
Tomiko,35
Emiko,36
Shizuko,37
Noriko,38
Yuko,39
Kiyoko,40
Ko,41
Nobuko,42
Mieko,43
Yoshie,44
Shoji,45
Masami,46
Teruko,47
Mitsuo,48
Ryoko,49
Yasuo,50
Chiyoko,51
Kazue,52
Chieko,53
Sumiko,54
Hiroyuki,55
Akiko,56
Shigeo,57
Susumu,58
Etsuko,59
Akio,60
Shigeko,61
Isamu,62
Shizue,63
Kenichi,64
Masaki,65
Yaeko,66
Aiko,67
Masahiro,68
Shinichi,69
Shoichi,70
Jitsu,71
Osamu,72
Tomoko,73
Sadako,74
Masayuki,75
Takeo,76
Takao,77
Hideko,78
Tsutomu,79
Makoto,80
Yoshiaki,81
Yuki,82
Haruko,83
Ayako,84
Yuji,85
Kimiko,86
Asahi,87
Haruo,88
Minoru,89
Atsushi,90
Kachi,91
Kiyo,92
Tetsuo,93
Yoshihiro,94
Kunio,95
Yutaka,96
Taeko,97
Tatsuo,98
Tadao,99
Yukie,100
