id,full_name,first_name,last_name,first_origin,last_origin,first_source_rank,last_source_rank,pair_type,label,rotation
core-00001,Wei Wang,Wei,Wang,C,C,2,1,C_C,0,0
core-00002,Yan Peng,Yan,Peng,C,C,3,38,C_C,0,0
core-00003,Li Qi,Li,Qi,C,C,4,75,C_C,0,0
core-00004,Ying Lu,Ying,Lu,C,C,5,12,C_C,0,0
core-00005,Hui Su,Hui,Su,C,C,6,49,C_C,0,0
core-00006,Lei Wan,Lei,Wan,C,C,7,86,C_C,0,0
core-00007,Hong Gao,Hong,Gao,C,C,8,23,C_C,0,0
core-00008,Yu Meng,Yu,Meng,C,C,9,60,C_C,0,0
core-00009,Min Yi,Min,Yi,C,C,10,97,C_C,0,0
core-00010,Xin Han,Xin,Han,C,C,11,34,C_C,0,0
core-00011,Bin Qin,Bin,Qin,C,C,12,71,C_C,0,0
core-00012,Ping Wu,Ping,Wu,C,C,13,8,C_C,0,0
core-00013,Lin Tian,Lin,Tian,C,C,14,45,C_C,0,0
core-00014,Yong Shao,Yong,Shao,C,C,15,82,C_C,0,0
core-00015,Ming Lin,Ming,Lin,C,C,16,19,C_C,0,0
core-00016,Ling Yin,Ling,Yin,C,C,17,56,C_C,0,0
core-00017,Qing Kang,Qing,Kang,C,C,18,93,C_C,0,0
core-00018,Peng Song,Peng,Song,C,C,19,30,C_C,0,0
core-00019,Qiang Bai,Qiang,Bai,C,C,20,67,C_C,0,0
core-00020,Yun Liu,Yun,Liu,C,C,21,4,C_C,0,0
core-00021,Jin Pan,Jin,Pan,C,C,22,41,C_C,0,0
core-00022,Rong Xiang,Rong,Xiang,C,C,23,78,C_C,0,0
core-00023,Chao He,Chao,He,C,C,24,15,C_C,0,0
core-00024,Gang Jin,Gang,Jin,C,C,25,52,C_C,0,0
core-00025,Yue Qu,Yue,Qu,C,C,26,89,C_C,0,0
core-00026,Jianhua Tang,Jianhua,Tang,C,C,27,26,C_C,0,0
core-00027,Xiaoyan Gu,Xiaoyan,Gu,C,C,28,63,C_C,0,0
core-00028,Na Zhan,Na,Zhan,C,C,29,100,C_C,0,0
core-00029,Liping Ceng,Liping,Ceng,C,C,30,37,C_C,0,0
core-00030,Mei Xue,Mei,Xue,C,C,31,74,C_C,0,0
core-00031,Ning Zhou,Ning,Zhou,C,C,32,11,C_C,0,0
core-00032,Zhen Ye,Zhen,Ye,C,C,33,48,C_C,0,0
core-00033,Chen Guan,Chen,Guan,C,C,34,85,C_C,0,0
core-00034,Kai Luo,Kai,Luo,C,C,35,22,C_C,0,0
core-00035,Cheng Fang,Cheng,Fang,C,C,36,59,C_C,0,0
core-00036,Xiang Ge,Xiang,Ge,C,C,37,96,C_C,0,0
core-00037,Haiyan Deng,Haiyan,Deng,C,C,38,33,C_C,0,0
core-00038,Jianping Xiong,Jianping,Xiong,C,C,39,70,C_C,0,0
core-00039,Lihua Huang,Lihua,Huang,C,C,40,7,C_C,0,0
core-00040,Nan Fan,Nan,Fan,C,C,41,44,C_C,0,0
core-00041,Xiaohong Tao,Xiaohong,Tao,C,C,42,81,C_C,0,0
core-00042,Zhiqiang Hu,Zhiqiang,Hu,C,C,43,18,C_C,0,0
core-00043,Lan Ren,Lan,Ren,C,C,44,55,C_C,0,0
core-00044,Kun Lan,Kun,Lan,C,C,45,92,C_C,0,0
core-00045,Lijun Xie,Lijun,Xie,C,C,46,29,C_C,0,0
core-00046,Xiaoli Xia,Xiaoli,Xia,C,C,47,66,C_C,0,0
core-00047,Jianguo Zhang,Jianguo,Zhang,C,C,48,3,C_C,0,0
core-00048,Jianjun Yuan,Jianjun,Yuan,C,C,49,40,C_C,0,0
core-00049,Xiaoping Duan,Xiaoping,Duan,C,C,50,77,C_C,0,0
core-00050,Meng Sun,Meng,Sun,C,C,51,14,C_C,0,0
core-00051,Tingting Zhong,Tingting,Zhong,C,C,52,51,C_C,0,0
core-00052,Lijuan Hong,Lijuan,Hong,C,C,53,88,C_C,0,0
core-00053,Shan Liang,Shan,Liang,C,C,54,25,C_C,0,0
core-00054,Zhi Wen,Zhi,Wen,C,C,55,62,C_C,0,0
core-00055,Xiaoling Xing,Xiaoling,Xing,C,C,56,99,C_C,0,0
core-00056,Yuanyuan Tan,Yuanyuan,Tan,C,C,57,36,C_C,0,0
core-00057,Xiaodong Gong,Xiaodong,Gong,C,C,58,73,C_C,0,0
core-00058,Xiaoming Zhao,Xiaoming,Zhao,C,C,59,10,C_C,0,0
core-00059,Xing Fu,Xing,Fu,C,C,61,47,C_C,0,0
core-00060,Jingjing Lai,Jingjing,Lai,C,C,62,84,C_C,0,0
core-00061,Zhiyong Guo,Zhiyong,Guo,C,C,63,21,C_C,0,0
core-00062,Yanping Liao,Yanping,Liao,C,C,64,58,C_C,0,0
core-00063,Xiaohua Bao,Xiaohua,Bao,C,C,65,95,C_C,0,0
core-00064,Xuan Yan,Xuan,Yan,C,C,66,32,C_C,0,0
core-00065,Xiaofeng Zou,Xiaofeng,Zou,C,C,67,69,C_C,0,0
core-00066,Jianming Yang,Jianming,Yang,C,C,68,6,C_C,0,0
core-00067,Weidong Cheng,Weidong,Cheng,C,C,69,43,C_C,0,0
core-00068,Di Mao,Di,Mao,C,C,70,80,C_C,0,0
core-00069,Huan Yu,Huan,Yu,C,C,71,17,C_C,0,0
core-00070,Xiaojun Yao,Xiaojun,Yao,C,C,72,54,C_C,0,0
core-00071,Shuang Kong,Shuang,Kong,C,C,73,91,C_C,0,0
core-00072,Qiong Shi,Qiong,Shi,C,C,74,28,C_C,0,0
core-00073,Zhigang Jia,Zhigang,Jia,C,C,75,65,C_C,0,0
core-00074,Xiaoying Li,Xiaoying,Li,C,C,76,2,C_C,0,0
core-00075,Zhiming Xiao,Zhiming,Xiao,C,C,77,39,C_C,0,0
core-00076,Jianfeng Lei,Jianfeng,Lei,C,C,78,76,C_C,0,0
core-00077,Xiaomei Zhu,Xiaomei,Zhu,C,C,79,13,C_C,0,0
core-00078,Xiaohui Du,Xiaohui,Du,C,C,80,50,C_C,0,0
core-00079,Hongmei Qian,Hongmei,Qian,C,C,81,87,C_C,0,0
core-00080,Zhiwei Zheng,Zhiwei,Zheng,C,C,82,24,C_C,0,0
core-00081,Xuemei Dai,Xuemei,Dai,C,C,83,61,C_C,0,0
core-00082,Long Niu,Long,Niu,C,C,84,98,C_C,0,0
core-00083,Chunyan Cao,Chunyan,Cao,C,C,85,35,C_C,0,0
core-00084,Weiwei Ji,Weiwei,Ji,C,C,86,72,C_C,0,0
core-00085,Hongwei Xu,Hongwei,Xu,C,C,87,9,C_C,0,0
core-00086,Dongmei Dong,Dongmei,Dong,C,C,88,46,C_C,0,0
core-00087,Shu Hao,Shu,Hao,C,C,89,83,C_C,0,0
core-00088,Jinhua Jiang,Jinhua,Jiang,C,C,90,20,C_C,0,0
core-00089,Zhihua Cui,Zhihua,Cui,C,C,91,57,C_C,0,0
core-00090,Guoqiang Chang,Guoqiang,Chang,C,C,92,94,C_C,0,0
core-00091,Hai Feng,Hai,Feng,C,C,93,31,C_C,0,0
core-00092,Song Hou,Song,Hou,C,C,94,68,C_C,0,0
