id,full_name,first_name,last_name,first_origin,last_origin,first_source_rank,last_source_rank,pair_type,label,rotation
full-00001,Wei Wang,Wei,Wang,C,C,2,1,C_C,0,
full-00002,Wei Li,Wei,Li,C,C,2,2,C_C,0,
full-00003,Wei Zhang,Wei,Zhang,C,C,2,3,C_C,0,
full-00004,Wei Liu,Wei,Liu,C,C,2,4,C_C,0,
full-00005,Wei Chen,Wei,Chen,C,C,2,5,C_C,0,
full-00006,Wei Yang,Wei,Yang,C,C,2,6,C_C,0,
full-00007,Wei Huang,Wei,Huang,C,C,2,7,C_C,0,
full-00008,Wei Wu,Wei,Wu,C,C,2,8,C_C,0,
full-00009,Wei Xu,Wei,Xu,C,C,2,9,C_C,0,
full-00010,Wei Zhao,Wei,Zhao,C,C,2,10,C_C,0,
full-00011,Wei Zhou,Wei,Zhou,C,C,2,11,C_C,0,
full-00012,Wei Lu,Wei,Lu,C,C,2,12,C_C,0,
full-00013,Wei Zhu,Wei,Zhu,C,C,2,13,C_C,0,
full-00014,Wei Sun,Wei,Sun,C,C,2,14,C_C,0,
full-00015,Wei He,Wei,He,C,C,2,15,C_C,0,
full-00016,Wei Ma,Wei,Ma,C,C,2,16,C_C,0,
full-00017,Wei Yu,Wei,Yu,C,C,2,17,C_C,0,
full-00018,Wei Hu,Wei,Hu,C,C,2,18,C_C,0,
full-00019,Wei Lin,Wei,Lin,C,C,2,19,C_C,0,
full-00020,Wei Jiang,Wei,Jiang,C,C,2,20,C_C,0,
full-00021,Wei Guo,Wei,Guo,C,C,2,21,C_C,0,
full-00022,Wei Luo,Wei,Luo,C,C,2,22,C_C,0,
full-00023,Wei Gao,Wei,Gao,C,C,2,23,C_C,0,
full-00024,Wei Zheng,Wei,Zheng,C,C,2,24,C_C,0,
full-00025,Wei Liang,Wei,Liang,C,C,2,25,C_C,0,
full-00026,Wei Tang,Wei,Tang,C,C,2,26,C_C,0,
full-00027,Wei Wei,Wei,Wei,C,C,2,27,C_C,0,
full-00028,Wei Shi,Wei,Shi,C,C,2,28,C_C,0,
full-00029,Wei Xie,Wei,Xie,C,C,2,29,C_C,0,
full-00030,Wei Song,Wei,Song,C,C,2,30,C_C,0,
full-00031,Wei Feng,Wei,Feng,C,C,2,31,C_C,0,
full-00032,Wei Yan,Wei,Yan,C,C,2,32,C_C,0,
full-00033,Wei Deng,Wei,Deng,C,C,2,33,C_C,0,
full-00034,Wei Han,Wei,Han,C,C,2,34,C_C,0,
full-00035,Wei Cao,Wei,Cao,C,C,2,35,C_C,0,
full-00036,Wei Tan,Wei,Tan,C,C,2,36,C_C,0,
full-00037,Wei Ceng,Wei,Ceng,C,C,2,37,C_C,0,
full-00038,Wei Peng,Wei,Peng,C,C,2,38,C_C,0,
full-00039,Wei Xiao,Wei,Xiao,C,C,2,39,C_C,0,
full-00040,Wei Yuan,Wei,Yuan,C,C,2,40,C_C,0,
full-00041,Wei Pan,Wei,Pan,C,C,2,41,C_C,0,
full-00042,Wei Cai,Wei,Cai,C,C,2,42,C_C,0,
full-00043,Wei Cheng,Wei,Cheng,C,C,2,43,C_C,0,
full-00044,Wei Fan,Wei,Fan,C,C,2,44,C_C,0,
full-00045,Wei Tian,Wei,Tian,C,C,2,45,C_C,0,
full-00046,Wei Dong,Wei,Dong,C,C,2,46,C_C,0,
full-00047,Wei Fu,Wei,Fu,C,C,2,47,C_C,0,
full-00048,Wei Ye,Wei,Ye,C,C,2,48,C_C,0,
full-00049,Wei Su,Wei,Su,C,C,2,49,C_C,0,
full-00050,Wei Du,Wei,Du,C,C,2,50,C_C,0,
full-00051,Wei Zhong,Wei,Zhong,C,C,2,51,C_C,0,
full-00052,Wei Jin,Wei,Jin,C,C,2,52,C_C,0,
full-00053,Wei Ding,Wei,Ding,C,C,2,53,C_C,0,
full-00054,Wei Yao,Wei,Yao,C,C,2,54,C_C,0,
full-00055,Wei Ren,Wei,Ren,C,C,2,55,C_C,0,
full-00056,Wei Yin,Wei,Yin,C,C,2,56,C_C,0,
full-00057,Wei Cui,Wei,Cui,C,C,2,57,C_C,0,
full-00058,Wei Liao,Wei,Liao,C,C,2,58,C_C,0,
full-00059,Wei Fang,Wei,Fang,C,C,2,59,C_C,0,
